"FarmID","FarmScaleID","SpeciesID","Certification","DiseaseID","DiseaseDiagnosis","SubstanceUsed","SubstanceCategory","Location","Disease","DiseaseSigns","AffectPart","Agent","Cause"
"2-2-004-04","Medium","Penaeus monodon","Don’t know","Rostrum broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-05","Medium","Penaeus monodon","Don’t know","White spot","Experience","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-05","Medium","Penaeus monodon","Don’t know","Antenna broken","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-05","Medium","Penaeus monodon","Don’t know","Rostrum broken","Shrimp behaviour","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-05","Medium","Penaeus monodon","Don’t know","Antenna broken","Shrimp behaviour","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-06","Medium","Penaeus monodon","No certification","WSSV","Experience","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-06","Medium","Penaeus monodon","No certification","Rostrum broken","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-06","Medium","Penaeus monodon","No certification","Rostrum broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-06","Medium","Penaeus monodon","No certification","Rostrum broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-07","Small","Penaeus monodon","No certification","WSSV","Experience","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-07","Small","Penaeus monodon","No certification","Rostrum broken","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-07","Small","Penaeus monodon","No certification","Rostrum broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-07","Small","Penaeus monodon","No certification","Rostrum broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-08","Medium","Penaeus monodon","No certification","WSSV","Experience","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-08","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Calmag","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-08","Medium","Penaeus monodon","No certification","Black gill","Mortality rate","K-Max","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-08","Medium","Penaeus monodon","No certification","Black gill","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-08","Medium","Penaeus monodon","No certification","Black gill","Mortality rate","pH Fixer","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-08","Medium","Penaeus monodon","No certification","Black gill","Mortality rate","Soda mix","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-08","Medium","Penaeus monodon","No certification","Black gill","Mortality rate","Super Biotic","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-08","Medium","Penaeus monodon","No certification","Black gill","Mortality rate","Super PS","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-08","Medium","Penaeus monodon","No certification","Black gill","Mortality rate","Zymetin","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-004-09","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-09","Large","Penaeus monodon","No certification","Rostrum broken","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-09","Large","Penaeus monodon","No certification","Rostrum broken","Shrimp behaviour","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-09","Large","Penaeus monodon","No certification","Rostrum broken","Shrimp behaviour","Super PS","Probiotic","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"2-2-004-10","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-10","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-10","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-10","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-11","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-11","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-11","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-11","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-12","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-12","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-12","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-12","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-13","Medium","Penaeus monodon","No certification","WSSV","Experience","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-13","Medium","Penaeus monodon","No certification","Antenna broken","Other farmers experience","Calmag","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-13","Medium","Penaeus monodon","No certification","Antenna broken","Shrimp behaviour","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-13","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-13","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-13","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-13","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-13","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-13","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-14","Medium","Penaeus monodon","No certification","WSSV","Experience","C-158","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-14","Medium","Penaeus monodon","No certification","Antenna broken","Shrimp behaviour","Calmag","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-14","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-14","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-14","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-14","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-14","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-14","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-14","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-15","Small","Penaeus monodon","No certification","WSSV","Experience","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-15","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-15","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-15","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-16","Small","Penaeus monodon","No certification","WSSV","Experience","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-16","Small","Penaeus monodon","No certification","Antenna broken","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-16","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-16","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-17","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-17","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-18","Large","Penaeus monodon","No certification","WSSV","Experience","Classic Aqua Z Powder","Unknown","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-18","Large","Penaeus monodon","No certification","Yellow head disease","Mortality rate","Metro Aqua Solution","Bactericide/virustatic","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"2-2-004-18","Large","Penaeus monodon","No certification","Yellow head disease","Shrimp behaviour","Metro Aqua Solution","Bactericide/virustatic","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"2-2-004-19","Small","Penaeus monodon","No certification","WSSV","Experience","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-19","Small","Penaeus monodon","No certification","WSSV","Mortality rate","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-20","Medium","Penaeus monodon","No certification","WSSV","Experience","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-20","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Calmag","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-20","Medium","Penaeus monodon","No certification","Antenna broken","Experience","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-20","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-20","Medium","Penaeus monodon","No certification","Antenna broken","Experience","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-20","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-20","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-20","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-20","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-21","Small","Penaeus monodon","No certification","Antenna broken","Experience","Calmag","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-21","Small","Penaeus monodon","No certification","Antenna broken","Experience","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-21","Small","Penaeus monodon","No certification","Antenna broken","Experience","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-21","Small","Penaeus monodon","No certification","Antenna broken","Experience","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-21","Small","Penaeus monodon","No certification","Antenna broken","Experience","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-21","Small","Penaeus monodon","No certification","Antenna broken","Experience","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-21","Small","Penaeus monodon","No certification","Antenna broken","Experience","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-21","Small","Penaeus monodon","No certification","Antenna broken","Experience","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-22","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-22","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-23","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-23","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-24","Medium","Penaeus monodon","No certification","WSSV","Experience","C-159","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-24","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Calmag","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-24","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-24","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-24","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-24","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-24","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-24","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-24","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-25","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-25","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-26","Medium","Penaeus monodon","No certification","WSSV","Experience","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-26","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Calmag","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-26","Medium","Penaeus monodon","No certification","Antenna broken","Experience","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-26","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-26","Medium","Penaeus monodon","No certification","Antenna broken","Experience","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-26","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-26","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-26","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-26","Medium","Penaeus monodon","No certification","Antenna broken","Experience","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-27","Small","Penaeus monodon","No certification","WSSV","Experience","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-27","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-27","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-27","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-27","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-27","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-27","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-27","Small","Penaeus monodon","No certification","Antenna broken","Mortality rate","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-28","Medium","Penaeus monodon","No certification","WSSV","Experience","C-160","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-28","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Calmag","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-28","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","K-Max","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-28","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-28","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","pH Fixer","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-28","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Soda mix","Immunostimulant","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-28","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super Biotic","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-28","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Super PS","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-28","Medium","Penaeus monodon","No certification","Antenna broken","Mortality rate","Zymetin","Probiotic","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"2-2-004-29","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-29","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-004-30","Medium","Penaeus monodon","No certification","Tail rot","Experience","Chelamin","Immunostimulant","Khulna","Appendage tip necrosis","Brown/black appendage tips","Appendages","Bacteria","Infectious"
"2-2-004-30","Medium","Penaeus monodon","No certification","Tail rot","Experience","Nutrigel","Immunostimulant, Antibiotic","Khulna","Appendage tip necrosis","Brown/black appendage tips","Appendages","Bacteria","Infectious"
"2-2-011-01","Medium","Penaeus monodon","No certification","WSSV","Experience","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-011-01","Medium","Penaeus monodon","No certification","Black gill","Other farmers experience","Calmag","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-011-01","Medium","Penaeus monodon","No certification","Fouling","Shrimp behaviour","Calmag","Immunostimulant","Khulna","Cotton Shrimp Disease","Cotton-like appearance of muscle tissue","Body","Parasite","Infectious"
"2-2-011-01","Medium","Penaeus monodon","No certification","Fouling","Mortality rate","K-Max","Immunostimulant","Khulna","Cotton Shrimp Disease","Cotton-like appearance of muscle tissue","Body","Parasite","Infectious"
