"FarmID","FarmScaleID","SpeciesID","DiseaseID","DiseaseDiagnosis","SubstanceUsed","SubstanceCategory","Location","Disease","DiseaseSigns","AffectPart","Agent","Cause"
"88-004","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-004","Medium","Penaeus monodon","Cotton Shrimp Disease/Microsporidia","Own experience","Calcium carbonate","Water and sediment","Khulna","Cotton Shrimp Disease","Cotton-like appearance of muscle tissue","Muscle","Parasite","Infectious"
"88-004","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-005","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium hypochlorite","Disinfectants","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-005","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium hypochlorite","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-005","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium hypochlorite","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-005","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Calcium hypochlorite","Disinfectants","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-005","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium hypochlorite","Disinfectants","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-005","Medium","Penaeus monodon","WSSV","Own experience","Calcium hypochlorite","Disinfectants","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-006","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from feed company","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-006","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-006","Medium","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from feed company","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-006","Medium","Penaeus monodon","WSSV","Diagnosis support from feed company","Benzalkonium chloride (BKC)","Disinfectants","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-006","Medium","Penaeus monodon","Infectious Hypodermal and Haematopoietic Necrosis","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","IHHNV","Opaque abdominal musculature","Muscle","Virus","Infectious"
"88-007","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-007","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-007","Medium","Penaeus monodon","Taura Syndrome Virus (TSV)","Own experience","Calcium carbonate","Water and sediment","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-008","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Potassium permanganate","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-008","Medium","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-009","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-009","Medium","Penaeus monodon","Cotton Shrimp Disease/Microsporidia","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Cotton Shrimp Disease","Cotton-like appearance of muscle tissue","Muscle","Parasite","Infectious"
"88-009","Medium","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-010","Small","Penaeus monodon","Infectious Hypodermal and Haematopoietic Necrosis","Own experience","Calcium carbonate","Water and sediment","Khulna","IHHNV","Opaque abdominal musculature","Muscle","Virus","Infectious"
"88-010","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Zeolite","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-010","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Zeolite","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-010","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Zeolite","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-010","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Zeolite","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-010","Small","Penaeus monodon","WSSV","Own experience","Zeolite","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-011","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Carbofuran","Pesticides","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-011","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Aluminum potassium sulfate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-011","Small","Macrobrachium rosenbergii","Black Spot Infection","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-012","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-012","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-012","Small","Penaeus monodon","Taura Syndrome Virus (TSV)","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-013","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-013","Small","Penaeus monodon","Infectious Hypodermal and Haematopoietic Necrosis","Own experience","Calcium carbonate","Water and sediment","Khulna","IHHNV","Opaque abdominal musculature","Muscle","Virus","Infectious"
"88-013","Small","Penaeus monodon","Vibrosis","Own experience","Calcium carbonate","Water and sediment","Khulna","Vibrosis","Body patches and muscle opacity","Body/muscle","Bacteria","Infectious"
"88-013","Small","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-014","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Carbofuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-014","Small","Penaeus monodon","Brown Spot Disease","Diagnosis support from chemical supplier","Aluminum potassium sulfate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-014","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-015","Small","Macrobrachium rosenbergii","Antenna broken","Neighboring farmer","Carbofuran","Pesticides","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-015","Small","Macrobrachium rosenbergii","Blue Shell Disease","Neighboring farmer","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-015","Small","Penaeus monodon","Necrotising hepatopancreditis Bacterium (NHPB)","Neighboring farmer","Carbofuran","Pesticides","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"88-015","Small","Macrobrachium rosenbergii","Rostrum broken","Neighboring farmer","Carbofuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-016","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-016","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-016","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-016","Small","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-017","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-017","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-017","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-017","Small","Penaeus monodon","Taura Syndrome Virus (TSV)","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-017","Small","Penaeus monodon","Yellow Head Virus (YHV)","Own experience","Calcium carbonate","Water and sediment","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"88-018","Small","Macrobrachium rosenbergii","Antenna broken","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-018","Small","Penaeus monodon","Black Gill Disease","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"88-018","Small","Macrobrachium rosenbergii","Black Spot Infection","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-018","Small","Macrobrachium rosenbergii","Blue Shell Disease","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-018","Small","Macrobrachium rosenbergii","Rostrum broken","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-018","Small","Macrobrachium rosenbergii","Sessilinasis","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-018","Small","Penaeus monodon","WSSV","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-018","Small","Penaeus monodon","Yellow Head Virus (YHV)","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"88-019","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-019","Small","Macrobrachium rosenbergii","Blue Shell Disease","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-020","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from feed company","Carbofuran","Pesticides","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-020","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Carbofuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-020","Small","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from feed company","Carbofuran","Pesticides","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-020","Small","Penaeus monodon","Infectious Hypodermal and Haematopoietic Necrosis","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","IHHNV","Opaque abdominal musculature","Muscle","Virus","Infectious"
"88-020","Small","Penaeus monodon","WSSV","Diagnosis support from feed company","Oxygen supply agent","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-021","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-021","Medium","Penaeus monodon","Pale Gill and Liver","Own experience","Calcium carbonate","Water and sediment","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"88-021","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-021","Medium","Penaeus monodon","Yellow Head Virus (YHV)","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"88-022","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Chlorpyrifos","Pesticides","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-022","Medium","Penaeus monodon","Brown Spot Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-023","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-023","Medium","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-023","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-023","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-023","Medium","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-024","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-024","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-024","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-025","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-025","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Chlorpyrifos","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-025","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Cypermethrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-025","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Phenthoate","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-025","Medium","Penaeus monodon","Vibrosis","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Vibrosis","Body patches and muscle opacity","Body/muscle","Bacteria","Infectious"
"88-025","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium oxide","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-025","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium oxide","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-025","Medium","Macrobrachium rosenbergii","Black Spot Infection","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-026","Medium","Penaeus monodon","Taura Syndrome Virus (TSV)","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-026","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from feed company","Zeolite","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-026","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Zeolite","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-027","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-027","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-027","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-028","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Farm(s) employ trained health specialist(s)","Vitamins","Feed supplements","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-028","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Farm(s) employ trained health specialist(s)","Andicone(Trade name)","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-028","Medium","Macrobrachium rosenbergii","Antenna broken","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-028","Medium","Macrobrachium rosenbergii","Rostrum broken","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-028","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Farm(s) employ trained health specialist(s)","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-029","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-029","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-029","Medium","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-030","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Flusilazole","Fungicide","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-030","Medium","Penaeus monodon","Cotton Shrimp Disease/Microsporidia","Own experience","Carbofuran","Pesticides","Khulna","Cotton Shrimp Disease","Cotton-like appearance of muscle tissue","Muscle","Parasite","Infectious"
"88-030","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Chlorpyrifos","Pesticides","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-030","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Hexako","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-030","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Sorafos (Trade name)","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-030","Medium","Penaeus monodon","Taura Syndrome Virus (TSV)","Own experience","Calcium carbonate","Water and sediment","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-031","Small","Macrobrachium rosenbergii","Rostrum broken","Neighboring farmer","Carbofuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-031","Small","Macrobrachium rosenbergii","Rostrum broken","Neighboring farmer","Lamba - cyhalothrin","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-031","Small","Macrobrachium rosenbergii","Antenna broken","Neighboring farmer","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-032","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-032","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-033","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Chlorpyrifos","Pesticides","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-033","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Phenthoate","Pesticides","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-033","Small","Penaeus monodon","Yellow Head Virus (YHV)","Own experience","Calcium carbonate","Water and sediment","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"88-033","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Salpher","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-033","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Salpher","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-034","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Chlorpyrifos","Pesticides","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-034","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Chlorpyrifos","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-034","Small","Penaeus monodon","WSSV","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-035","Small","Penaeus monodon","Necrosis of appendages","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Appendage tip necrosis","Brown/black appendage tips","Appendages","Bacteria","Infectious"
"88-035","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Lamba - cyhalothrin","Pesticides","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-035","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Lamba - cyhalothrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-035","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Lamba - cyhalothrin","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-035","Small","Penaeus monodon","WSSV","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-036","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Lamba - cyhalothrin","Pesticides","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-036","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Lamba - cyhalothrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-036","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Lamba - cyhalothrin","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-036","Small","Penaeus monodon","Taura Syndrome Virus (TSV)","Own experience","Lamba - cyhalothrin","Pesticides","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-037","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-037","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-037","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-037","Small","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-038","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-038","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
